mot,definition
Manakosina," (kosina) ma p. (manakosena): Mandoto: A-za manakosina ny akanjonao amin'ny vouoka ~ Mampiaraka amin'ny olona tsy ampoka, fatritran'olona: Fadio ny manakosina ny zanakao amin'iny olona iny."
Manakositra," (kositra) mt.p. (manakosira): Mandilotra, mampihodinkodina hazo kely lava eo ambonin'ny hazo iray mba hah azoana afo."
Manakosoka," (kosoka) mt.p. (manakosoha): Mampandalo (ny tanana, borosy) eo ambonin'ny zavatra iray mba hamp ahadio azy."
Manakotana," (kotana) mt.p. (manakotàna): Manakotaba, mampikorontana, mampikomy."
Manakotikotika," (kotika) mt.p. (manakotikoteha): Mandrovitra sady manapotipotik&"
Manakotra," (takotra) mt.p. (manakofa): Manarona amin' ny takotra."
Manakotrana," (kotrana) mt.p. (manakotràna): Manozongozona, manofokofoka: Misy manakotrana ny uarauaranay rahalina. ~ Manahirana, manelingelina: Misy tebiteby manakotrana azy andro a-man 'alina • Mampikorontana: Tsy misy afaka hanakotrana ny fihavanantsika"
Manakotrika," (kotrika) mt.p. (manakotreha): Mametraka akoho mba hikotrika, mainpikotrika."
Manakotsa," (kotsa) mt.p. (manakotsà): Mandena tanteraka, mamonto."
Manakotsako," na Mitsakotsako (tsako) p.t: Enti-milaza ny vanin-taolana izay toa torovandrovan a sady manaintain&"
Manakotso," (akotso)  Manisy sisin-damba haingo."
Manakovilavila," (kovilavila) mt p. (manakovilavilà): Mampiolikolika manketsy mankeroa: Manakouilavila ny fandehany ny mamo; ~ Mampisavilivily: Aza manakouilauita tanana toy izao rehefa mande ha."
Manala," (ala) mt.p. (manalà): Manesotra: Nanala ny palitaony izy fa nafana loatra ny andro. ~ Manatsoaka, manongotra, manombotra: Iza no nanala ilay fantsika teto amin'ny rindrina? ~ Manafaka: Iza dry no nanala azy tao an-davaka tao, hoy ianao? ? Maka: Lasa nanala fanadinana any Antananarivo izy. ? Manao fanalana, manesotra isa amin'ny isa hafa iray lehibebe kokoa: Tsy mbola mahay manala akory ity zaza ity a F.-p.: Manala aina: mamono mahafaty. / Manala alahelo: mampitony ny alahelo, mampionona olona ao anatin'ny fahoriana. / Manala andro: manao zavatrambahandaniana andro ka tsy hahatsiarovana ny fahelany. lManala baraka: manala ny voninahitr'olona/Manala ny fony: manampatra ny hatezerany. /Manala ny lohany: mitomany mafy dia mafy, mijafajafa. / Manala satroka: manesotra ny satroka avy eo andoha ho mari-p anajana. j Manala tsiny: manao izay hahamaivana ny fahadisoan'ny olona iray. / Manala zaza: manao izay hahafahan'ny zaza mbola tsy tonga volana ao an-kibo."
Manala," manatsoaka zavatra sintonina, manendaka,"
Manalady," (halady) mt.p. (manaladia): Miala tsiny: Ndeha manalady azy ianao (ndeha miala tsiny aminy ianao). 1 Mitsapa alahelo, mamangy amin'ny fahoriana: Avy manalady anareo, tompoko."
Manalakalaka," (halaka, malakalaka) mt p, (manalakalaha): Mampisaraka, mampihataka, manisy elanelana."
Manalalaka," (dalaka) mt.p. (manalalaha): Manabe sakany, velarana: Manalalaka ny araben-dalana ? Manalehibe, manitatra: Amin'ny herintaona uao manalalaka ny tranonay izahay. ~ Manisy elanelana: Manalalaka kokoa ny an-dalan-tsoratra. ? Manaketraka, manalefaka: Vao tonga tao amin'ny fitondrana izy dia nanalalaka ny lalàna no nataony."
Manalalana," (alalana) mt.p. (manalalàna): Manelanelana: Manalalana antsika amin'Andriamanitra ve ny Razana? ~ Mitondra hafatra: Rabe no nalefako hanalalana tany amin'ny lehibe, nefa mbola tsy nahazo uallny aho. ? Miraharaha zavatra amin'ny fanelanelanana: Tsy uitanao mivantana io fa aoka ianao hanalalana"
Manalanalana," (alana) mt.p. (alanalana): Manavaka, mampitokana irery."
Manalangalana," (halangalana) mt.p. (manalangalàna): Mampisaraka (toerana)."
Manalasala," (sala) mt.s. (manalasalà): Mankeo anelanelany, afovoany; tsy mandroso tsy mihemotra ~ Mametraka eo anelanelan'ny zavatra roa. ~ Miteraka fihambahambana mahatonga hisalasala: Manalasala ohatra ny uozon'akoho tanora; hanina toa taolana, avala toa nofony ihany."
Manalava," (lava) mt.p. (manalauà): Manohy, manovona: Iza no nanalava it? tady it?? ~ Mahatonga hitaritarika, mampitarozaka: Manalava resaka koa Rangahy iny ka very foana teto ny andro. ~ Manela: Manalaua ny adin' ny oiona io mpitsara io."
Manalavitra," (lavitra) mt.p. (ma-na lav ira) : Mihataka amy...: Nony lehibe Rabe dia nanalauitra andreniny. ~ Mampihemotra lavitra: Manalavitra ny zauatra jerena it? masolavitra iy."
Manalefaka," (lefaka)mt.p. (manalefaha): Mampahatonga malefaka, mora alefitra: A-tao anaty rano ny hazo hana-1e faka azy. 1 Mampitony, manaketraka: Manalefaka ny alaheloko ny tenin'ny raiko. ~ Mampihena: Manalefaka ny hainandro ny ranonorana."
Manalehibe," (lehibe) mt.p. (manalehibiaza): Manalalaka, mampitombo: Manalehibe tokotany. 1 Mampitombo ny sary ahitana zavatra: Manalehibe ny zauatra jerena it? solomaso it?. 1 Manitatra, mampitombo filaza: Tsy mety ny manalehibe na manakely ny zavatra natao fa izay izy ihany no izy."
Manalemy," (lemy)  Mahatonga halefaka: Ny vola nomeko azy no nanalemy azy. 1 Mampitony, manalefaka: Ny fifonako taminy no nanalemy ny hatezerany."
Manalika," (alika) mtp•: Mana-la baraka amin'ny teny tsy fanao afa-tsy amin'ny alika, na amin'ny fanaovana ilay olona tenenina ho toy ny alik&"
Manalina," (alina)  Mitana hatramin'ny fahatongavan' ny alina, mitana ela loatra: Nanalina ahy ny resa-dRabe omaly. -  F.-p,: Manalina andro: mitana ela loatra."
Manalo," (alo) ma p.: Manasaratsaraka ny ira alohan'ny hanenomana: Efa manenona ve Rasoa izao? — Tsia, mbola manalo ny foly izy ao."
Manaloha," (aloha) mt, p.: Mandefa na mampandeha aloha: Efa nanaloha olona ve ianao mba hilaza ny fahatongauantsika? 1 Manao aloha: Nanaloha ny uariny noho ny olona rehetra izy taona ito?"
Manaloka," (aloka) mt.p. (mana-lofa): Manome aloka, miaro amin'ny hainandro: Mikisaha etsy avaratra fa bey mis), manaloka anao eo amin'ny misy anao eo. ? Mampahamaizina: Arodany io rindrina io fa manaloka be ihany. ~ h. o.: Manakona ny voninahitra ka mampihena ny fahefana: Betsaka ny andriana ambony novonoin-dRanavalona reni• ny fa natahorany hanaloka a-z y."
Manamafy," (mafy) mt.p. (manamafisa): Manamarina: Faly aho fa manamafy ny hevitro ny lazainao. •Manampy: Aoka ianao tsy hanamafy ny fananarana efa nataoko azy. ~ Mampitombo: Vao mainka hanamafy ny alahelony raha miseho ho malahelo koa ianao."
Manamaika," (maika)  Mampanao (zavatra) olona haingana, mandodona: Tsy fanao ny manamaika olona toy izany."
Manamailaka," (mailaka) mt.p. (manamailaha): Manao izay hahamailaka."
Manamaimbo," (maimbo) ma p. (manamaimboa): Mahatonga ho maimbo: Ario any io fatin-tsaka io fa manamaimbo tanàna 1 h.o.: Manala baraka, manala voninahitra, mahafa-baraka: Hanamaimbo azy eo anatrehan' ny vahoaka it? taratasy it? raha hauoaka"
Manamainty," (mainty) mt.p. (manamaintisa): Mahatonga ho mainty: Manamainty ny valindrihana ny molaly. ? Mandoko mainty:MahaY manamainty lamba Ravao."
Manamaita," (maina)  Mahatonga ho maina: Ny hafanan'ny andro fotsiny dia manamaina lamba 1 Mandritra, mahatankina: Nanamaina ny matsabory ny hainandro."
Manamaito," (ito) rat p.: Mana• paka"
Manamaitso," (maitso) ma p. (manamaitsoa): Mahatonga ho maitso. 1 Mandoko maitso."
Manamaivana," (maivana) mt.p. (mana maiuàna): Mahatonga ho maivana: Manamaivana entana / Manamaivana alahelo."
Manamaivoka," (maivoka)  Mitoto vary manala ny am-, pombo mahery."
Manamaizina," (izina)  Mahatonga ho maizina: Manamaizina ny trano io hazo midoroboka io ka aoka hotapahina"
Manamamo," (mamo) mt.p. (manamamoa): Manao izay hahatonga tofoka, hahatonga mamo."
Manamamy," (hamy) Mampahatsiro."
Manamandina," (mandina) mt p.: Mahatonga ho mandina, manao izay hahamandina."
Manamanga," (manga) mt.p. (manamangà): Mahatonga ho mange. 1 Mandoko mang&"
Manamangana," (mangana) mt p.: Mahatonga ho mangana."
Manamango,"  Anaran-kafa nilazana ny tangena izay nampinomana ny olona voampan ga taloha."
Manamanitra," (hanitra) mt.p. (manamanira): Manao izay hahamanitra, hahatsara fofona: Manamanitra ny rivotra ny voninkazo. ~ Mahandro vary ho masaka tsar&"
Manamanja," (manja) mal). (manamanjà): Mahatonga ho manja. F• Manoso-doko mania."
Manamanta," (manta) ma p.: Tsy manao tsara fahandro; ts manao tsar&"
Manamantoanto," Mahamantoanto (antoanto)  Manao ratsy masaka, manao nahandro tsy tsara masaka."
Manamaonjana," (onjana) mt. p.: Manao izay hamp ahavesatra."
Manamaro," (maro) mt.p. (manamaroa): Mahatonga ho ma-ro."
Manamasaka," (masaka) mt.p. (manamasaha): Manao izay hahamasaka, manotrika (voankazo); mandinika lalina."
Manamasina," Mankamasina (hasina)  Manao fombam-pivavahana mba hahatonga ho masina, hanana hery, fahefana, hamboniana: Manamasina meday. 1 Manaja, mitsaoka: Tsy mety ny mankamasina ny sampy."
Manàmatra," (hamatra) mt. p. (manamara): Manarato ny tongotra na tanana tapaka."
Manamatroka," (matroka) mt. p. (manamatroha): Manao izay tsy hampahamiratra, hahavasoka."
Manambady," (vady) mt.p. (manambadia): Manana vady: 0-lona efa manambady iny ka aza antenaina intsony. ? Ma-ka vady na alaina ho vady: Lasa nanambady any larivo Ibozivao."
Manambahamba," (hambahamba) mt s.: Enti-milaza ny voronkely manainga (elatra) toa mitsapa hery alohan'ny hanidinany."
Manambàka," (ambàka) mt. p. (manambakà): Mamitaka amin'ny varotra (na amin'ny fakana tombony be loatra, na amin'ny fiangarana amin' ny lanja na amin'ny fivarotana zavatra tsaraivelany fotsiny fa ratsy na tsisy vidiny): Tokony hosazin'ny fanjakana mafy ny mpivarotra manambaka ? Manararaotra ny tsy fahalalan'ny olona iray ka mamitaka azy: Lozan'izay manambaka zaza fa tsy ho tantiny ny todin'izany. ? Miangatra na manao izay handresen'ny tena na haharesen' ilay mpifaninana amin' ny tena amin'ny fomba tsy an-drariny, an-kafetsena: Tokony hofadina ny manambaka amin'ny lalào, fa sady tsy rariny no mahamenatra."
Manambana," (ambana) mt.p. (manambàna): Manao fihetsehana mody mamely, mandrahona, mampatahotra: Manambana tehamaina ~ Efa rafla ho rovitra: Efa manambana ho rouitra na manambana (fotsiny) it? iambanao it?."
Manambany," (ambany) mt.p. (manambania): Manao ho tsinontsinona."
Manambara," (ambara) mt.p. (manambarà): Mampahalala zavatra iray nafenina na tsy fantatry ny olona iresahana: Nony ela ny ela, nanambara ny anaran'ny olona niaranangalatra taminy Rabe, 1 Milaza: Iza no nanambara izany taminao? 1 Mitory: Tsy manambara zavatra tsara izao riuotra izao: angamba misy tafiodrivotra miforona any ho any."
Manambatra," (tambatra) mt.p. (manambiwa) : Manakambana, mampiray:Iza no nanambatra ireto mpianatra rehetra ireto tato anatin'ny efitra iray? ? Manatontaly: Mbola tsy mahay manambatra it? zaza it?. ? Mampitohy: Nanambatra hazo."
Manambina," na Manatambina (tambina) mt. p.: Manisy tambiny."
Manambina," (ambina)  Manome vintana tsars: Manambina azy, hono, ny akanjo volombatolalaka • Mitahy:Hanambina anao anis Andriamanitral"
Manambitamby," (tambitamby) mt.p. (manambitambaza): Manafosafo na manehatehaka malefaka amim-pitiavana mba hanala alahelo: Manambitamby zaza manavy. ~ Miangavy olona amin'ny fanomezan-javatra na karama, na amin'ny fanaovana izay hahafaly azy: Nanambitamby ahy mafy izy hanohana azy amin 'ny fifidianana   Manafosafo, misafosafo, mitsontsona, mandrotsirotsy, manolikoly, manojikojy, mihontihonty, manehatehaka, manejokejo, mamalifaly."
Manamboho," (voho) mt.p. (manambohba): Mampitodika amin'ny lafy ratsiny: Manamboho sary. (• Manodina ny lamosina hanatrika ny,..: Manamboho varavarana."
Manambolina," Jer. Manatambolina."
Manambolo," (ambolo)  Mamantatra zavatra iray amin'ny fofona, maka fofona: Mahay manambolo sokina ve io alikanao io?"
Manamboninahitra," (voninahitra) a: Miaramila ambony galons na laharana. ~ Olona ambony eo anrin'ny fitondram-panjakana."
Manambony," (ambony) mt.p. (manam bon ia) :Manindrahvndra, mihevitra ho ambony: Loza Rangahy io raha hanambony tena"
Manambosy," (ambosy) mt.p. (manambosia): Mamporisika, mitaona, manangoly: Izy no nanambosy ny vahoaka hikomy."
Manambotra," (sambotra) mt.p. (manambora): Manenjika (biby na vorona), misambotra."
Manamby," (tamby) mt.p. (manambaza): Manakarama: Nanamby ahy telopolo izy hanadio ny tokotany."
Manameloka," (meloka) mt.p. (manameloha): Manasazy ara-ka ny didim-pitsarana: Nanameloka azy higadra mandrapahafatiny ny mpitsara. ~Manao izay hampiforitra; mamokoka."
Manamena," (mena) mt.p. (manamenà): Mampahatongaho mena, •Manoso-doko mena."
Manamezaka," (mezaka)  Mamp ahanify."
Manamika," (tamika) mt. s.: Mitsika, enti-milaza rano mivoaka kely tsy an-kiato avy ao anaty zavatra: Nanamika ta	min 'ny vato ity rano it?."
Manamiramirana," (mirana) mt. p.: itwlanao izay hahafalifaly."
Manamohaka," (mohaka) mt.p. (manamohafa): Mampahatonga ho bodaka."
Manamohamo," p.t. (t. tr.): Malaindaina amy,.."
Manamondra," (mondra) mt. p.: Mandany tsiro ny tany."
Manamondry," (mondry) mt.p. (manamondria) : Manapaka na mambory ny rantsantanana."
Manamonga," (monga) mt.p. (manamongà): Manapa-tandroka, tanana, tongotra. r"
Manamongo," (mongo) mt.p. (manamongoa): Manorotoro, m an am on tsam on ts ana. 	Manamontsana	(montsana) mt.p. (manamontsàna): Manamongomongo; manorotoro."
Manamora," (mora) mt.p. (manamorà): Mahatonga ho mora: Manamora ny dia aoka izany ny fiara. ~ Mampihena vidy: Manamora ny entambarotro ny habetsahany. ? Mampitony, mahatonga ho morainy: Nanamora azy ny fialan-tsiny nataonao."
Manamorona," (morona) mt.p. (manamordna): Mankeo antsisina: Aza manamorona ny hady eo sao fanina ianao,"
Manamory," (hamory) mt.p. (manamoria): Mitans ny familian a, mamily."
Manamotaka," (motaka)  Manao izay hahalemy mohaka, manorotoro."
Manamotika," (motika) mt.p. (manamoteha): Manapotika, ni an drov itr a m adin i ka."
Manamotraka," (motraka) mt. p.: Mahalemy, mamela ho lo."
Manamotsika," (motsika) mt.p. (manamotseha): Manapotika, mamotsika, manorotoro."
Manampana," (sampan) mt.p. (manampàna): Mandrantsana."
Manampatra," (ampatra) mt.p. (manampara): Mampiasa tsy am-pisalasalana sady feno fanaranam-po: Nanampatra ny herin-tsandriny tamin'ilay zaza kely tsy ampy folo tao-na akory izy. ~ Manao araka izay tratra, araks izay tiana: Saingy mba efa navelan'ny dokotera hihinana ventin.kanina Rabe ka dia efa nanampatra er?. 1 Mampiseho am-pie boeboana, mirehareha:Nanampatra ny harenany mari-na izy tamin'ny fanambadian'ny zanany. / Nanamparany ny fahaizany teo izahay nandritra ny adiny roa."
Manampify," (ampify) mt.p. (manampifia): Manankina amy....   Miampify, miampirina, mamokaiky, mivokaiky, miforitra, mitampisaka."
Manampina," (tampina) mt.p. (manampena): Manisy sarona amin'ny zavatra iray misokatra, na manakombona azy: Manampina voua fery. / Manampi-maso tsy hahita ? Manisy tapa-damba mba hanarona ny loaka amin'ny lamba: Manampina ny akanjon-janany rovitra Rasoa. -  Manisy tsentsina: Manampina tangirika amin'ny vody rindrina. 1 Manisy sakana amin'ny zavatra iray mba tsy hahafahana mampiasa io zavatra io: Manampina lalana."
Manampo," (fo) mt.p. (manampoiza): Mikasa: Nanampo ny hianatra aho ny maraina, kanjo nanavy tampoka ka namonjy fandriana. ~ Mihevitra, manantena: Tsy nanampo anao ho afaka mihitsy a-ho. 1 Mieritreritra, manao ho zavatra, miahy: Tsy manampo raharaha velively io Rangahy io."
Manampoka," (tampoka) mt. p.: Tonga tsy nampoizina, manatratra tampoka: Matetika no manampoka antsika olombelona ny fahafatesana"
Manampoka," (tampoka) mt. p. (manampoha): Manampy rano: Iza no nanampo-drano ny divaiko teto?"
Manampona," (tampona) mt.p. (manampàna): Mahavoa, mahatratra eo an-tampony tsara: Nanampona ny tendron' ilay hazo tsara ny vato. 1 Mijery zavatra ambany toerana avy eny ambony: Avy teny Mandràka aho no nanampona an'i Sabotsy. ? mt. s.: Tonga tsara eo an-tampons: Nanampona ny tamin'ny roa ambin'ny folo no niainga izy."
Manamponga," (amponga) mt. p.: Mandoka mihoa-pampana."
Manampontsampontsana," (sampona) mt.p. (manampontsampàna): Manakana, manao izay tsy hahatanteraka: Esory daholo izay manampontsampona ny fahatongavanao amin'ny fivoriana."
Manampy," (ampy) mt.p. (manampia): Mampitombo, ma nao bebe kokoa: Manampy sira ny laoka / HanamPy ny karamanao aho fa mahafapo ny asanao. ~ Mampitambatra ny herin'ny tena amin' ny an'ny hafa mba hahamoramora kokoa ny asany: Iza no nanampy anao tamin'io asa io? ? Manome famonjena na hery: Manampy ny tsy manana io ramatoà ia."
Manamy," (tamy) mt m. (manamia): Manao amboletra miditra ao an-trano amin'ny fihadiana vody rindrina, famakiana varavarana: Nisy jiolahy nanamy trano, hono, halina"
Manamy," (hamy) mta: Mitondra akanjo fenti-mihaingo, mihaingo."
Manana," (anana) mt.p. (manàna): Enti-milaza fa tompon' ny zavatra iray: Manana satrobory Isambilo. / Manampanahy Rasoa -  F.-p.: Manana anarana: manan-daza, fantatr' olona. 1 Manan-draharaha: misy mahasahirana, be raharaha: A-za fady fa manan-draharaha aho ka tsy ho afaka rahampitso. / Manan-jara: ambinina, tsara vintana. / Mana-manjo: maty havana, manan-kavana nody mandry.   Tompo-manjo, tompom-pahoriana. / Manan-jo: Manan-kasina. / Manan-tsy mamanga: mahazo zavatra maimaimpoana, tsy mividy vola. J Manan-janaka: manan-janaka torontoronina ao an-kibo, mitoe-jaza. / Manana alahe-!o: manome tsiny: Manana alahelo aminao, hono, izy no-ho ny tsy nanatrehanao ny fanambadiany. / Manan-kabary: manana ady, manana fifanolanana amin'olona, / Manan-kasina: misy hery am. sy lehibe: Manan-kasina ny tanindrazana. * Ohab.: Izay tondraka anio manan-jara; izay ho ampitso ka ho hitanao: fitenin'ireo mpirobaroba izay tsy mitsinjo ny ho avy fa faly ny handany anio izay azo anio ihany."
Manàna," (hana) mt.s.: Maka na misambo-bola misy zanany."
Mananaka," (hanaka) mt.s.: Enti-milaza zavatra toy ny voankazo mitera-drano be ao anaty vava rehefa hanina."
Mananasy," (fr. ananas)  Ka-r az an-javamaniry mamoa misy raviny matsilotsilo ary hodiny matevina marokoroko: Voankàzo be ranony ny mananasy. ""Ilay boka mitain gin- tseza"" no filaza ny mananasy amin'ny ankamantatra."
Mananatra," (anatra) mt. p. (mananara): Manao na manipy torohevitra, manoro izay tokony hatao: Isan-kariva i dadabe fahizay tsy tapaka nananatra anay. ? Manao hafatrafatra: Talohan'ny hiainganay, dia nananatra mafy i da-da sy i neny. ? Mitezitra, mandevilevy: Nanao kitoatoa ise ka tsy maintsy mananatra anise toy.izao aho."
Mananatry," (sanatry) mt s.: Manao satry, mandroaka fanahy ratsy."
Mananda," (sanda) mt.p. (manandà): Manome sanda (fanampin-javatra mba hampitovy vidy azy amin'ny zavatra iray hafa): Angady mondro sy reniakoho ka izay mananda no resy (ohab.); izanY hoe zavatra roa mitovy vidy izy roa ireo ka raha misy olona roa mifanakalo azy ireo, izay mbola manome sandany, na fanampiny, an'ilay iray hafa dia azo heverina ho resy, namaty antoka."
Manandevo," (andevo) mt. p. (manandevoza): Mitondra ohatrany andevo."
Manandindona," (tandindona)  Manaloka: Misy hazo manandindona ny tranonay. * Manindry mandry: Efa nnnandindon azy ny ho faty."
Manandoka," (sandoka)  Mangalatra an-kafetsena, mifetsy."
Manandra," (tandra) mt.p. (manandrà): Manongotra amin' ny tandra."
Manandra," (tandra)  Manao fanomezana ho an'ny zaza iray mbola tsy teraka na zaza marary mba hisambasambàna fahaterahana na fahasitranana soa aman-tsara ho azy."
Manandrahaka," (sandrahaka) mt.s.: Mitondra rantsana betsaka: Nanandrahaka haingana lahy it? hazo ity!"
Manandrana," (andrana) mt.p. (manandrama): Mitsapa mialoha: Andeha hanandrana ilay angadinomby uao novidiko aho rahampitso. ? Mihinana kely amin-javatra iray hahalalana ny tsirony: Manandrama amin'ity paiso it? ianao fa hankasitraka aoka izany."
Manandrandra," (andrandra) mt. p. (manandrandrà): Manatraka; mampitraka ny loha. ? Manantena: Manandrandra ny fahombiazana izy."
Manandratra," (sandratra) mt.p. (manandrata): Manainga ho ambony: Manandra-tanna * Mampanehoeho, manome laza: Izay manandra-tena dia haetry."
Manandria,"  Karazan'amponga natokana ho an'ny lanonana fanatanjahan-tena (moraingy, tolona, daka...); tsotra ny fehin'ny manandria fa manaraka ny lavan'ny amponga daholo fa tsy misy manodidina ny vatany toy ny ampongahafa."
Manandriana," (andriana) nit P.: Manaja fatratra. -  F.-p.: Manandrian-tena: manao ny tenany na miseho ho andriana. / Manandriandrian-tena: mihambohambo foana."
Manandrify," (tandrify) mt.p. (manandrifia): Manatrika ny, mifanatrika amy: Manandrify ny tranonay ny tranony."
Manandrina," (handrina)  Mijery tsara manatrika amin' ny maso feno fandrahonana. * Man ohitra."
Manandro," (andro) mt s.: Mijery ny vintan'olona araka ny andro nahaterahany. ? Milaza ny andro tsars azo anombohan-javatra na ny andro ratsy tsy anaovan-javatra no-ho ny andro mahery na ny andro fady: Tsy mahazo manandro, hono, raha mbola velon-dray.   Mitety andro, manitsaka andro."
Manandroka," (tandroka) mt.p. (manandroha): Mametaka tandroka ampiasaina ho toy ny vantozy."
Manandrongo," (androngo) mt. s. (manandrongoa): Mfkisaka ohatra ny androngo. ? Misafoaka ohatra ny ombalahy mitroatra. -  F.-p.: Lavo manandrongo: mianjera mitatavoka anoloana."
Manandry," na Manendry (tan-dry)  Manendrikendrika, mitsaratsara olona foana, manombotomboka: Aza manendry ratsy olona."
Mananetivohitra," (vohitra)  Ny mponina amin'ny tanety mampitohy ny vohitra rehetra iny."
Mananety," na Mananetiny na Mananetinkena  Didin-kena manaraka ny voan-kena na ny hena eo amin'ny tamp on-dam osin 'ny omby."
Mananety," (tanety) mt. s.: Mandehamitety tanety."
Mananga," (anga) mt.s.: Miseho ho kanosa. ? Mandeha ran' orona. -  F.-p.: Mananga tay: mivoaka, mangery am-pataloa."
Manangana," (tsangana) mt. p, (manangàna): Manarina zavatra amin'ny haavony:Manangana seza miongana ? Mampijoro, manorina: Manangantrano. ? Mametraka zavatra amin'ny toerana avo mba hahitana azy tsara: Manangantsaina. ? Milaza zaza eo anatrehan'ny fanjakana ho toy ny zanakamahazomandova:"
Manangana," ny zanak'anabaviny izy fa tsy niteraka ? Mahazo indray, mahatafajoro indray: Lany efatra hetsy aho nanao ity trano nazeran' ny rivo-doza ity; asa na rahouiana aho no hanangana ny vola laniko teto. -  F.-p•: Manangana efitra: enti-milaza olona manao izay hisarahana amin'ny hafa izay niaraka taminy teo aloha. / Manangan-jaza: milazaampa-]ribemaso na eo amin'ny fanjakana fa io zaza io dia ho anisan'ny handova azy. / Manangan-tanana: fomba fianianana, enti-milaza fa ny tena marina no lazaina. / Manangan-torana: enti-milaza zaza mitomany izaitsizy ka mila ho torana mihitsy. / Manangam-bouona: ilazana ny olona na ny biby vonon-kandramatra."
Mananganga," (anganga)  Manainga zavatra. ? Midera, manao fiderana mihoapampana."
Manangasanga," (sangasanga) mt. s.: Miseho kely, mihoatrany zavatra hafa izay fohy noho izy, ka tazana na dia lavitra ara: Iny nisy lohan'olona nanangasanga ter? ambony tamboho. ? Miseho lany ka ny tendrony na ny ""sangany"" fotsiny no hita fa ny vatany tsy tazana: An'iza ir? trano manangasanga ir??"
Manangedona," (gedona) mt.p. (manangedôna): Mandoto."
Manangerona," (ngerona)  Mandoto, manamainty."
Manangilo," (ngilo)  Mahatonga ho ngilo."
Manangita," (ngita) mt.p. (manangità): Manao izay hahatonga ngita."
Manangizina," (ngizina) mt.p. (manangizina): Mahatonga ho ngizina."
Manangola," (angola) mt.p. (manangolà): na matetitetika kokoa Manangolangola: Manaraka ny sitrapo na ny haitraitran'olona: Loza raha hanangola ny zanany io vehivavy io; mbola hanenenany ihany izany. ? Manisy filatron-kira amin'ny fanamboarana ny feo hiolana kely:Manangolangola feo ery io tovovavy io rehefa mihira am-pahibemaso."
Manangoly," (angoly) mt.p. (manangole): Manambitamby mba hametsena: Kinga ery izy manangoly ny uahoaka * Mitaona olona amin'ny teny na fijery malefaka mba hahavoa azy: Loza iny raha zazalahy hanangoly. ? Manome vola na kadoa olonamba hitaona azy tsy hanao ny adidiny.  M. h.: Jer. Kolikoly."
Manangona," (angona) mt.p. (manangbna): Manao izay hahatonga olona maro amin' ny toerana iray: Manangona ny mpianatra rehetra ny lehiben'ny sekoly. ? Mamory zavatra betsaka hotehirizina: Manangona loto no raharahan-dRangahy iny. ? Mampivondrona: Nanangona ny heriny rehetra izy dia nitsambikina"
Manangongo," (ngongo)  Mampiavovona na mampitoi by zavatra mitamba-be: Manangongo vato."
Manangy," (tangy)  Manome tangy, manome vola vehivavy mba hanekeny hiray amin'ny tena."
Manangy," (fit-p.)  Vehivavy."
Mananihany," (hanihany) mt. p. (mananihania): Mamazivazy tsy am-panajana, manaraby: Loza raha hananihany ny mpandalo ireo ankizy ireo."
Mananika," (anika) mt.p. (mananiha): Mandeha miakatra eny ambony: Mananika tendrombohitra ? h. o.: Manamy, mamely: Manani-bohitra. ? Efa manatona ny tao-na faha...: Mananika ny fahadimampolo taonany izy. -  F.-p.: Mananika andry ma lama: manetra na misetra zava-tsarotra, na dia hita aza fa mety hahavoa ny tena. / Manani-droua: mikomy."
Mananisoroka," (soroka) mt.p. (manantsoroha): Mitondra an-tsoroka."
Mananisy," (hantsy, hatsy) mt p. (manantsia): Manome fo mba hiady amin'ny tena, mi-la ady."
Mananjara,"  Karazan-javamaniry fanao fanafody."
Manankarena," (harena)  Enti-milaza ny olona mana-na amby ampy, manam-be, na vola na fananana: Vitsy ny manankarena malala-tanana.   Mpanjato, mpanarivo, mpanalfna, komohina, tremalahy, mpanefohefo, ngetroka, mpanontany ny ory."
Manankina," (ankina) mt.p. (manankina): Manisy tohany, mametraka zavatra eo akaikin'ny zavatra hafa iray manohana azy:Tsy hainao angaha ny manankina io latabatra io amin'ny zoron-trano? ? h. o.: Mametraka hokarakaraina: Manankina ny famboleko' aminao aho. ? Manome ho andraikftra, mampiadidy, mampiandraikitxa: Ianao no anankinako ny volako."
Mananky," (anky) mt.s.: Mandrefy amin'ny anky: Ny felatanana sy ny rantsan-tanana no nentina nananky."
Manano," (ano)  Miadidy, mikarakara. -  F.-p.: Manano tena: miehy, mikarakara tena irery. / Vehivavy mpanano tena: vehivavy maty vady. / Manano sarotra: maka sarotra, misahirana. (Ankehitriny, efamahazatra ny manoratra ireo f; p. ireo ho teny iray: mananotena, mananosarotra)."
Mananona," (anona) mt. s. (mannova): Manao zavatra iray izay tsy lazaina mazava: Io manko i Bozy b! ny olona mananona fotsiny dia atosiny!"
Mananonanona," (anona) mt.s.: Enti-milaza toetra tsy tsara tsy ratsy fa eo ho eo: Manao ahoana ny marary izay? — Mananonanona ao izy. / Mananonanona be ihany it? politika it? ka aoka aloha hahemotra ny resatsika."
Mananontanona," (tanontanona) mt.s.: Mipetraka kamokamo eo akaikin'olona ka tsy manao na inona na inona fa mijerijery fotsiny eo.:Mananontanon-daua eo akaikiko io adala io. ? Manatona, mampatahotra, mila hamely: Misy loza mananontanona ozy.  M. h.: Mandindona, manandindondindona, mandondona, manombana, manaloka, mitatao, manindry, azo tsindry man dry."
